index,emotion,Usage
0,0,Training
1,0,Training
2,2,Training
3,4,Training
4,6,Training
5,2,Training
6,4,Training
7,3,Training
8,3,Training
9,2,Training
10,0,Training
11,6,Training
12,6,Training
13,6,Training
14,3,Training
15,5,Training
16,3,Training
17,2,Training
18,6,Training
19,4,Training
20,4,Training
21,2,Training
22,0,Training
23,0,Training
24,3,Training
25,3,Training
26,5,Training
27,0,Training
28,3,Training
29,5,Training
30,3,Training
31,6,Training
32,3,Training
33,2,Training
34,3,Training
35,6,Training
36,6,Training
37,6,Training
38,0,Training
39,5,Training
40,0,Training
41,3,Training
42,4,Training
43,0,Training
44,6,Training
45,2,Training
46,3,Training
47,6,Training
48,2,Training
49,2,Training
50,2,Training
51,5,Training
52,5,Training
53,6,Training
54,4,Training
55,5,Training
56,0,Training
57,3,Training
58,4,Training
59,2,Training
60,6,Training
61,5,Training
62,3,Training
63,4,Training
64,3,Training
65,0,Training
66,4,Training
67,3,Training
68,0,Training
69,5,Training
70,4,Training
71,2,Training
72,4,Training
73,2,Training
74,0,Training
75,6,Training
76,0,Training
77,0,Training
78,5,Training
79,4,Training
80,3,Training
81,5,Training
82,3,Training
83,6,Training
84,2,Training
85,2,Training
86,4,Training
87,4,Training
88,5,Training
89,4,Training
90,0,Training
91,0,Training
92,6,Training
93,0,Training
94,6,Training
95,2,Training
96,2,Training
97,3,Training
98,4,Training
99,3,Training
100,3,Training
101,2,Training
102,6,Training
103,3,Training
104,4,Training
105,3,Training
106,2,Training
107,0,Training
108,2,Training
109,3,Training
110,2,Training
111,3,Training
112,6,Training
113,6,Training
114,3,Training
115,4,Training
116,4,Training
117,0,Training
118,3,Training
119,3,Training
120,0,Training
121,2,Training
122,0,Training
123,0,Training
124,3,Training
125,3,Training
126,0,Training
127,4,Training
128,5,Training
129,2,Training
130,4,Training
131,2,Training
132,5,Training
133,3,Training
134,0,Training
135,6,Training
136,6,Training
137,2,Training
138,2,Training
139,3,Training
140,2,Training
141,3,Training
142,3,Training
143,3,Training
144,3,Training
145,3,Training
146,4,Training
147,2,Training
148,2,Training
149,0,Training
150,0,Training
151,2,Training
152,6,Training
153,3,Training
154,4,Training
155,5,Training
156,3,Training
157,0,Training
158,2,Training
159,4,Training
160,5,Training
161,2,Training
162,3,Training
163,4,Training
164,6,Training
165,3,Training
166,4,Training
167,3,Training
168,6,Training
169,0,Training
170,4,Training
171,4,Training
172,4,Training
173,2,Training
174,6,Training
175,5,Training
176,5,Training
177,6,Training
178,5,Training
179,2,Training
180,3,Training
181,2,Training
182,3,Training
183,4,Training
184,0,Training
185,2,Training
186,0,Training
187,3,Training
188,0,Training
189,2,Training
190,2,Training
191,5,Training
192,3,Training
193,5,Training
194,5,Training
195,4,Training
196,3,Training
197,0,Training
198,6,Training
199,5,Training
200,2,Training
201,6,Training
202,0,Training
203,0,Training
204,4,Training
205,5,Training
206,6,Training
207,3,Training
208,5,Training
209,5,Training
210,3,Training
211,2,Training
212,2,Training
213,3,Training
214,3,Training
215,3,Training
216,3,Training
217,6,Training
218,3,Training
219,6,Training
220,3,Training
221,0,Training
222,6,Training
223,3,Training
224,2,Training
225,0,Training
226,6,Training
227,5,Training
228,6,Training
229,0,Training
230,5,Training
231,4,Training
232,3,Training
233,0,Training
234,3,Training
235,0,Training
236,4,Training
237,5,Training
238,4,Training
239,3,Training
240,3,Training
241,0,Training
242,0,Training
243,6,Training
244,2,Training
245,0,Training
246,6,Training
247,3,Training
248,0,Training
249,0,Training
250,6,Training
251,0,Training
252,5,Training
253,6,Training
254,3,Training
255,2,Training
256,5,Training
257,5,Training
258,2,Training
259,0,Training
260,2,Training
261,6,Training
262,6,Training
263,0,Training
264,2,Training
265,3,Training
266,4,Training
267,2,Training
268,6,Training
269,5,Training
270,2,Training
271,2,Training
272,6,Training
273,6,Training
274,6,Training
275,2,Training
276,5,Training
277,3,Training
278,0,Training
279,5,Training
280,0,Training
281,4,Training
282,3,Training
283,3,Training
284,3,Training
285,3,Training
286,6,Training
287,3,Training
288,2,Training
289,4,Training
290,6,Training
291,3,Training
292,2,Training
293,4,Training
294,0,Training
295,0,Training
296,3,Training
297,2,Training
298,0,Training
299,1,Training
300,2,Training
301,2,Training
302,5,Training
303,3,Training
304,5,Training
305,4,Training
306,4,Training
307,0,Training
308,2,Training
309,3,Training
310,4,Training
311,6,Training
312,4,Training
313,2,Training
314,2,Training
315,3,Training
316,5,Training
317,4,Training
318,4,Training
319,5,Training
320,6,Training
321,4,Training
322,5,Training
323,0,Training
324,3,Training
325,3,Training
326,3,Training
327,2,Training
328,5,Training
329,5,Training
330,5,Training
331,3,Training
332,5,Training
333,3,Training
334,3,Training
335,3,Training
336,5,Training
337,6,Training
338,0,Training
339,4,Training
340,2,Training
341,2,Training
342,0,Training
343,4,Training
344,5,Training
345,5,Training
346,6,Training
347,6,Training
348,3,Training
349,2,Training
350,4,Training
351,2,Training
352,4,Training
353,0,Training
354,5,Training
355,0,Training
356,3,Training
357,5,Training
358,2,Training
359,4,Training
360,0,Training
361,4,Training
362,5,Training
363,6,Training
364,3,Training
365,2,Training
366,3,Training
367,5,Training
368,0,Training
369,0,Training
370,3,Training
371,3,Training
372,2,Training
373,6,Training
374,0,Training
375,2,Training
376,6,Training
377,0,Training
378,3,Training
379,2,Training
380,3,Training
381,2,Training
382,6,Training
383,4,Training
384,3,Training
385,4,Training
386,4,Training
387,0,Training
388,1,Training
389,2,Training
390,4,Training
391,6,Training
392,5,Training
393,0,Training
394,4,Training
395,6,Training
396,6,Training
397,6,Training
398,2,Training
399,6,Training
400,4,Training
401,3,Training
402,2,Training
403,4,Training
404,0,Training
405,6,Training
406,3,Training
407,2,Training
408,3,Training
409,0,Training
410,6,Training
411,5,Training
412,0,Training
413,5,Training
414,2,Training
415,6,Training
416,1,Training
417,3,Training
418,2,Training
419,6,Training
420,2,Training
421,0,Training
422,4,Training
423,6,Training
424,4,Training
425,5,Training
426,4,Training
427,4,Training
428,2,Training
429,0,Training
430,4,Training
431,0,Training
432,2,Training
433,0,Training
434,0,Training
435,5,Training
436,3,Training
437,3,Training
438,5,Training
439,3,Training
440,3,Training
441,4,Training
442,6,Training
443,5,Training
444,3,Training
445,3,Training
446,3,Training
447,4,Training
448,4,Training
449,6,Training
450,3,Training
451,4,Training
452,2,Training
453,3,Training
454,2,Training
455,2,Training
456,3,Training
457,4,Training
458,3,Training
459,6,Training
460,2,Training
461,6,Training
462,4,Training
463,3,Training
464,0,Training
465,3,Training
466,4,Training
467,6,Training
468,6,Training
469,0,Training
470,0,Training
471,5,Training
472,3,Training
473,1,Training
474,2,Training
475,4,Training
476,2,Training
477,2,Training
478,3,Training
479,2,Training
480,5,Training
481,0,Training
482,6,Training
483,2,Training
484,4,Training
485,3,Training
486,2,Training
487,3,Training
488,5,Training
489,0,Training
490,6,Training
491,6,Training
492,5,Training
493,6,Training
494,5,Training
495,3,Training
496,0,Training
497,5,Training
498,6,Training
499,0,Training
500,2,Training
501,6,Training
502,6,Training
503,6,Training
504,2,Training
505,4,Training
506,6,Training
507,2,Training
508,6,Training
509,0,Training
510,5,Training
511,3,Training
512,3,Training
513,4,Training
514,4,Training
515,0,Training
516,0,Training
517,2,Training
518,5,Training
519,0,Training
520,6,Training
521,0,Training
522,6,Training
523,5,Training
524,4,Training
525,0,Training
526,0,Training
527,3,Training
528,5,Training
529,5,Training
530,4,Training
531,3,Training
532,3,Training
533,1,Training
534,4,Training
535,6,Training
536,6,Training
537,3,Training
538,2,Training
539,3,Training
540,3,Training
541,6,Training
542,6,Training
543,4,Training
544,6,Training
545,0,Training
546,2,Training
547,6,Training
548,5,Training
549,4,Training
550,2,Training
551,6,Training
552,6,Training
553,3,Training
554,5,Training
555,6,Training
556,4,Training
557,6,Training
558,0,Training
559,4,Training
560,2,Training
561,3,Training
562,3,Training
563,0,Training
564,0,Training
565,6,Training
566,2,Training
567,6,Training
568,3,Training
569,3,Training
570,6,Training
571,5,Training
572,3,Training
573,1,Training
574,3,Training
575,2,Training
576,2,Training
577,4,Training
578,2,Training
579,2,Training
580,4,Training
581,0,Training
582,3,Training
583,5,Training
584,6,Training
585,3,Training
586,3,Training
587,2,Training
588,3,Training
589,0,Training
590,4,Training
591,2,Training
592,6,Training
593,2,Training
594,3,Training
595,5,Training
596,6,Training
597,2,Training
598,4,Training
599,2,Training
600,2,Training
601,6,Training
602,6,Training
603,4,Training
604,6,Training
